,mouse_lemur__gene_name,human__gene_name,mouse__gene_name,
8790,TNFSF4,TNFSF4,Tnfsf4,
8791,FOXQ1,FOXQ1,Foxq1,
8792,MVK,MVK,Mvk,
8793,LEP,LEP,Lep,
8794,PLA2G2F,PLA2G2F,Pla2g2f,
8795,RAB7B,RAB7B,Rab7b,
8796,SYK,SYK,Syk,
8797,LOC105866295,KLRC4-KLRK1,Klrk1,
8798,BBC3,BBC3,Bbc3,
8799,NR2E1,NR2E1,Nr2e1,
8800,GFER,GFER,Gfer,
8801,ACY3,ACY3,Acy3,
8802,DGKH,DGKH,Dgkh,
8803,LIN7C,LIN7C,Lin7c,
8804,RFC2,RFC2,Rfc2,
8805,RGS20,RGS20,Rgs20,
8806,ABHD14A,ABHD14A,Abhd14a,
8807,RNFT1,RNFT1,Rnft1,
8808,DPH2,DPH2,Dph2,
8809,SERINC4,SERINC4,Serinc4,
8810,LOC105878333,SCO1,Sco1,
8811,DENND2B,DENND2B,Denn2b,
8812,DNAJB9,DNAJB9,Dnajb9,
8813,BCL10,BCL10,Bcl10,
8814,RRAGA,RRAGA,Rraga,
8815,ZNF687,ZNF687,Zfp687,
8816,C27H1orf115,C1orf115,C130074G19Rik,
8817,NDEL1,NDEL1,Ndel1,
8818,C4H4orf19,C4orf19,0610040J01Rik,
8819,CACNA2D1,CACNA2D1,Cacna2d1,
8820,AGPAT5,AGPAT5,Agpat5,
8821,ZBTB34,ZBTB34,Zbtb34,
8822,VWA3B,VWA3B,Vwa3b,
8823,POLR2E,POLR2E,Polr2e,
8824,TYR,TYR,Tyr,
8825,THBD,THBD,Thbd,
8826,RARS2,RARS2,Rars2,
8827,BCAT1,BCAT1,Bcat1,
8828,GLCCI1,GLCCI1,Glcci1,
8829,BLOC1S2,BLOC1S2,Bloc1s2,
8830,NECTIN3,NECTIN3,Nectin3,
8831,DNAJA4,DNAJA4,Dnaja4,
8832,POU2F3,POU2F3,Pou2f3,
8833,LOC105865287,H2AJ,H2aj,
8834,EVA1C,EVA1C,Eva1c,
8835,HUS1,HUS1,Hus1,
8836,GLUL,GLUL,Glul,
8837,GJA3,GJA3,Gja3,
8838,FAM193B,FAM193B,Fam193b,
8839,PREB,PREB,Preb,
8840,LRP2,LRP2,Lrp2,
8841,RPA3,RPA3,Rpa3,
8842,LOC105880099,KRTAP24-1,Krtap24-1,
8843,RIOK1,RIOK1,Riok1,
8844,TFR2,TFR2,Tfr2,
8845,TJP1,TJP1,Tjp1,
8846,SYDE2,SYDE2,Syde2,
8847,TCF21,TCF21,Tcf21,
8848,NEMP2,NEMP2,Nemp2,
8849,ZFPM1,ZFPM1,Zfpm1,
8850,IFFO1,IFFO1,Iffo1,
8851,HTR1A,HTR1A,Htr1a,
8852,SLC4A1AP,SLC4A1AP,Slc4a1ap,
8853,MIDN,MIDN,Midn,
8854,FOXR2,FOXR2,Foxr2,
8855,SMIM8,SMIM8,Smim8,
8856,MYH7B,MYH7B,Myh7b,
8857,RAB11FIP4,RAB11FIP4,Rab11fip4,
8858,RAB22A,RAB22A,Rab22a,
8859,TEX51,TEX51,Gm35060,
8860,MYCBP2,MYCBP2,Mycbp2,
8861,POPDC2,POPDC2,Popdc2,
8862,CCDC66,CCDC66,Ccdc66,
8863,PSTPIP1,PSTPIP1,Pstpip1,
8864,PPEF1,PPEF1,Ppef1,
8865,CIDEA,CIDEA,Cidea,
8866,NCS1,NCS1,Ncs1,
8867,ZNF784,ZNF784,Zfp784,
8868,HADH,HADH,Hadh,
8869,CPA2,CPA2,Cpa2,
8870,UBE2K,UBE2K,Ube2k,
8871,ERLIN2,ERLIN2,Erlin2,
8872,RPL23A,RPL23A,Rpl23a,
8873,ORAI3,ORAI3,Orai3,
8874,CCDC178,CCDC178,Ccdc178,
8875,FAM166B,FAM166B,Fam166b,
8876,RAI2,RAI2,Rai2,
8877,CALU,CALU,Calu,
8878,ASPRV1,ASPRV1,Asprv1,
8879,RASGRF2,RASGRF2,Rasgrf2,
8880,TECR,TECR,Tecr,
8881,CRB1,CRB1,Crb1,
8882,WDR77,WDR77,Wdr77,
8883,SCUBE3,SCUBE3,Scube3,
8884,NT5C2,NT5C2,Nt5c2,
8885,GYG1,GYG1,Gyg,
8886,SERTAD1,SERTAD1,Sertad1,
8887,CCDC170,CCDC170,Ccdc170,
8888,RPS19,RPS19,Rps19,
8889,PGM2,PGM2,Pgm2,
8890,KCTD18,KCTD18,Kctd18,
8891,DNMBP,DNMBP,Dnmbp,
8892,MYLK4,MYLK4,Mylk4,
8893,CCDC185,CCDC185,Ccdc185,
8894,SLC6A18,SLC6A18,Slc6a18,
8895,BBS10,BBS10,Bbs10,
8896,STX4,STX4,Stx4a,
8897,SLC30A7,SLC30A7,Slc30a7,
8898,NUP153,NUP153,Nup153,
8899,MAD2L1,MAD2L1,Mad2l1,
8900,CEP128,CEP128,Cep128,
8901,FAM163A,FAM163A,Fam163a,
8902,PGK1,PGK1,Pgk1,
8903,TENT2,TENT2,Tent2,
8904,CD160,CD160,Cd160,
8905,IGFBP1,IGFBP1,Igfbp1,
8906,WASHC5,WASHC5,Washc5,
8907,CEP44,CEP44,Cep44,
8908,CACHD1,CACHD1,Cachd1,
8909,MYO15B,MYO15B,Myo15b,
8910,XAF1,XAF1,Xaf1,
8911,CD2AP,CD2AP,Cd2ap,
8912,AP2B1,AP2B1,Ap2b1,
8913,ADAMTS7,ADAMTS7,Adamts7,
8914,DOCK3,DOCK3,Dock3,
8915,RIMBP2,RIMBP2,Rimbp2,
8916,ASB1,ASB1,Asb1,
8917,SLC25A19,SLC25A19,Slc25a19,
8918,SGCB,SGCB,Sgcb,
8919,ISL2,ISL2,Isl2,
8920,MROH6,MROH6,Mroh6,
8921,QPCTL,QPCTL,Qpctl,
8922,UMOD,UMOD,Umod,
8923,GAST,GAST,Gast,
8924,GAS7,GAS7,Gas7,
8925,CFAP54,CFAP54,Cfap54,
8926,TNFSF14,TNFSF14,Tnfsf14,
8927,LOC105859915,OR2D3,Olfr716,
8928,OSBPL8,OSBPL8,Osbpl8,
8929,PTPRH,PTPRH,Ptprh,
8930,NCKAP5,NCKAP5,Nckap5,
8931,DTYMK,DTYMK,Dtymk,
8932,SSRP1,SSRP1,Ssrp1,
8933,BRICD5,BRICD5,Bricd5,
8934,PLAGL2,PLAGL2,Plagl2,
8935,LGMN,LGMN,Lgmn,
8936,SMTN,SMTN,Smtn,
8937,GP1BB,GP1BB,Gp1bb,
8938,SFRP5,SFRP5,Sfrp5,
8939,NRAP,NRAP,Nrap,
8940,CTNNBL1,CTNNBL1,Ctnnbl1,
8941,FGF4,FGF4,Fgf4,
8942,SLC1A5,SLC1A5,Slc1a5,
8943,MED12,MED12,Med12,
8944,MCRIP1,MCRIP1,Mcrip1,
8945,KLLN,KLLN,Gm36566,
8946,KCNK9,KCNK9,Kcnk9,
8947,LOC105878437,MYH13,Myh13,
8948,DFFB,DFFB,Dffb,
8949,SYCE3,SYCE3,Syce3,
8950,MED31,MED31,Med31,
8951,SMIM3,SMIM3,Smim3,
8952,BDKRB1,BDKRB1,Bdkrb1,
8953,PCBD2,PCBD2,Pcbd2,
8954,DYTN,DYTN,Dytn,
8955,ADAMTSL1,ADAMTSL1,Adamtsl1,
8956,LOC105867509,PNPLA3,Pnpla3,
8957,MAPK3,MAPK3,Mapk3,
8958,LYZL6,LYZL6,Lyzl6,
8959,RAB14,RAB14,Rab14,
8960,ALDH1A3,ALDH1A3,Aldh1a3,
8961,BNC2,BNC2,Bnc2,
8962,SLC1A2,SLC1A2,Slc1a2,
8963,SFXN5,SFXN5,Sfxn5,
8964,TNS3,TNS3,Tns3,
8965,TDRD9,TDRD9,Tdrd9,
8966,EXOC3L2,EXOC3L2,Exoc3l2,
8967,UXT,UXT,Uxt,
8968,PRDM5,PRDM5,Prdm5,
8969,HCST,HCST,Hcst,
8970,KIF21A,KIF21A,Kif21a,
8971,CAB39L,CAB39L,Cab39l,
8972,FAM193A,FAM193A,Fam193a,
8973,ITM2C,ITM2C,Itm2c,
8974,TMEM114,TMEM114,Tmem114,
8975,CUL3,CUL3,Cul3,
8976,DCBLD2,DCBLD2,Dcbld2,
8977,MOK,MOK,Mok,
8978,CLNS1A,CLNS1A,Clns1a,
8979,CASP14,CASP14,Casp14,
8980,WNT10B,WNT10B,Wnt10b,
8981,SNAP25,SNAP25,Snap25,
8982,FAM181B,FAM181B,Fam181b,
8983,ACSF2,ACSF2,Acsf2,
8984,YARS1,YARS1,Yars,
8985,AVPI1,AVPI1,Avpi1,
8986,TEX35,TEX35,Tex35,
8987,TBPL1,TBPL1,Tbpl1,
8988,TMSB15A,TMSB15A,Tmsb15a,
8989,RTF1,RTF1,Rtf1,
8990,GAB2,GAB2,Gab2,
8991,PTPN1,PTPN1,Ptpn1,
8992,EPHA8,EPHA8,Epha8,
8993,MMP12,MMP12,Mmp12,
8994,ARHGAP22,ARHGAP22,Arhgap22,
8995,USP37,USP37,Usp37,
8996,UNC119B,UNC119B,Unc119b,
8997,SLC16A11,SLC16A11,Slc16a11,
8998,ZMPSTE24,ZMPSTE24,Zmpste24,
8999,ZDHHC13,ZDHHC13,Zdhhc13,
9000,PKD1L2,PKD1L2,Pkd1l2,
9001,GLTPD2,GLTPD2,Gltpd2,
9002,PRKG2,PRKG2,Prkg2,
9003,SLC9A1,SLC9A1,Slc9a1,
9004,SLC33A1,SLC33A1,Slc33a1,
9005,RNASEH2B,RNASEH2B,Rnaseh2b,
9006,EIF2B3,EIF2B3,Eif2b3,
9007,ECH1,ECH1,Ech1,
9008,KLHDC7A,KLHDC7A,Klhdc7a,
9009,H1-4,H1-4,H1f4,
9010,AGPAT4,AGPAT4,Agpat4,
9011,LOC105878286,AICDA,Aicda,
9012,HSD17B2,HSD17B2,Hsd17b2,
9013,KRT10,KRT10,Krt10,
9014,MCAT,MCAT,Mcat,
9015,FAM167B,FAM167B,Fam167b,
9016,AAMP,AAMP,Aamp,
9017,PTPRG,PTPRG,Ptprg,
9018,KPNA4,KPNA4,Kpna4,
9019,KIF1B,KIF1B,Kif1b,
9020,ATXN2,ATXN2,Atxn2,
9021,RPL22L1,RPL22L1,Rpl22l1,
9022,USP40,USP40,Usp40,
9023,ALKBH5,ALKBH5,Alkbh5,
9024,ABCC4,ABCC4,Abcc4,
9025,PITPNC1,PITPNC1,Pitpnc1,
9026,ATG5,ATG5,Atg5,
9027,CDH16,CDH16,Cdh16,
9028,PSMB11,PSMB11,Psmb11,
9029,POLR2F,POLR2F,Polr2f,
9030,RNASE10,RNASE10,Rnase10,
9031,UBR3,UBR3,Ubr3,
9032,SLC23A3,SLC23A3,Slc23a3,
9033,KMT2B,KMT2B,Kmt2b,
9034,WBP2NL,WBP2NL,Wbp2nl,
9035,SYCP2L,SYCP2L,Sycp2l,
9036,UCMA,UCMA,Ucma,
9037,MECOM,MECOM,Mecom,
9038,ABHD12B,ABHD12B,Abhd12b,
9039,NAGLU,NAGLU,Naglu,
9040,ATG14,ATG14,Atg14,
9041,TRIM17,TRIM17,Trim17,
9042,SERPINA11,SERPINA11,Serpina11,
9043,SMG1,SMG1,Smg1,
9044,PIK3CB,PIK3CB,Pik3cb,
9045,ACD,ACD,Acd,
9046,ATOH8,ATOH8,Atoh8,
9047,MSRB3,MSRB3,Msrb3,
9048,RRM1,RRM1,Rrm1,
9049,SYF2,SYF2,Syf2,
9050,MAP3K19,MAP3K19,Map3k19,
9051,TENM2,TENM2,Tenm2,
9052,PHF5A,PHF5A,Phf5a,
9053,SNX25,SNX25,Snx25,
9054,MYO1E,MYO1E,Myo1e,
9055,CCDC113,CCDC113,Ccdc113,
9056,NGLY1,NGLY1,Ngly1,
9057,TMEM98,TMEM98,Tmem98,
9058,NSA2,NSA2,Nsa2,
9059,MBLAC1,MBLAC1,Mblac1,
9060,SULT4A1,SULT4A1,Sult4a1,
9061,SH2D6,SH2D6,Sh2d6,
9062,KCNK15,KCNK15,Kcnk15,
9063,PRKAG2,PRKAG2,Prkag2,
9064,C9H8orf89,C8orf89,4930444P10Rik,
9065,C3AR1,C3AR1,C3ar1,
9066,F8,F8,F8,
9067,CAPG,CAPG,Capg,
9068,FAM205C,FAM205C,Fam205c,
9069,HACD2,HACD2,Hacd2,
9070,TMEM35A,TMEM35A,Tmem35a,
9071,OTUD4,OTUD4,Otud4,
9072,SMIM20,SMIM20,Smim20,
9073,BPI,BPI,Bpi,
9074,RAB18,RAB18,Rab18,
9075,CCNG2,CCNG2,Ccng2,
9076,ANKS3,ANKS3,Anks3,
9077,ONECUT2,ONECUT2,Onecut2,
9078,KIDINS220,KIDINS220,Kidins220,
9079,MARCHF10,MARCHF10,Marchf10,
9080,TGFB2,TGFB2,Tgfb2,
9081,GTF3A,GTF3A,Gtf3a,
9082,AIFM3,AIFM3,Aifm3,
9083,GSTZ1,GSTZ1,Gstz1,
9084,IFT81,IFT81,Ift81,
9085,ILKAP,ILKAP,Ilkap,
9086,DSG2,DSG2,Dsg2,
9087,XRCC2,XRCC2,Xrcc2,
9088,SIX2,SIX2,Six2,
9089,ADARB1,ADARB1,Adarb1,
9090,RAB27B,RAB27B,Rab27b,
9091,SLC6A2,SLC6A2,Slc6a2,
9092,NPPA,NPPA,Nppa,
9093,LARP1,LARP1,Larp1,
9094,FEZ2,FEZ2,Fez2,
9095,RNF39,RNF39,Rnf39,
9096,KAZN,KAZN,Kazn,
9097,AEN,AEN,Aen,
9098,KTI12,KTI12,Kti12,
9099,DDX10,DDX10,Ddx10,
9100,MPHOSPH6,MPHOSPH6,Mphosph6,
9101,TXNL1,TXNL1,Txnl1,
9102,KNTC1,KNTC1,Kntc1,
9103,HCK,HCK,Hck,
9104,NFE2L2,NFE2L2,Nfe2l2,
9105,ZSCAN25,ZSCAN25,Zscan25,
9106,KDM5C,KDM5C,Kdm5c,
9107,MAN1C1,MAN1C1,Man1c1,
9108,EAF1,EAF1,Eaf1,
9109,TIGD3,TIGD3,Tigd3,
9110,RPS6KA4,RPS6KA4,Rps6ka4,
9111,ATP6V1D,ATP6V1D,Atp6v1d,
9112,MAN1A2,MAN1A2,Man1a2,
9113,MED30,MED30,Med30,
9114,PADI4,PADI4,Padi4,
9115,C10H9orf78,C9orf78,BC005624,
9116,MSH4,MSH4,Msh4,
9117,CSF3,CSF3,Csf3,
9118,CYP39A1,CYP39A1,Cyp39a1,
9119,MAPK7,MAPK7,Mapk7,
9120,SCUBE1,SCUBE1,Scube1,
9121,TMEM101,TMEM101,Tmem101,
9122,HTR3B,HTR3B,Htr3b,
9123,RCSD1,RCSD1,Rcsd1,
9124,RBFA,RBFA,Rbfa,
9125,GALNT13,GALNT13,Galnt13,
9126,FAAP100,FAAP100,Faap100,
9127,PTGR1,PTGR1,Ptgr1,
9128,RPP25L,RPP25L,Rpp25l,
9129,THEM6,THEM6,Them6,
9130,ARHGEF9,ARHGEF9,Arhgef9,
9131,ELP2,ELP2,Elp2,
9132,CEL,CEL,Cel,
9133,ERAS,ERAS,Eras,
9134,HIVEP2,HIVEP2,Hivep2,
9135,TNNI2,TNNI2,Tnni2,
9136,OTUD6B,OTUD6B,Otud6b,
9137,NYX,NYX,Nyx,
9138,LGALS2,LGALS2,Lgals2,
9139,TRIOBP,TRIOBP,Triobp,
9140,TIMP4,TIMP4,Timp4,
9141,CACNA1G,CACNA1G,Cacna1g,
9142,OGFOD2,OGFOD2,Ogfod2,
9143,ATXN7L3,ATXN7L3,Atxn7l3,
9144,C24H19orf38,C19orf38,AB124611,
9145,ACP5,ACP5,Acp5,
9146,PTH2R,PTH2R,Pth2r,
9147,ZNF513,ZNF513,Zfp513,
9148,FBLN1,FBLN1,Fbln1,
9149,ZBED4,ZBED4,Zbed4,
9150,A4GALT,A4GALT,A4galt,
9151,SPATC1,SPATC1,Spatc1,
9152,PRKCD,PRKCD,Prkcd,
9153,CERK,CERK,Cerk,
9154,ELAVL2,ELAVL2,Elavl2,
9155,CCDC70,CCDC70,Ccdc70,
9156,SNAP47,SNAP47,Snap47,
9157,LRRC18,LRRC18,Lrrc18,
9158,GTF2I,GTF2I,Gtf2i,
9159,TCEAL3,TCEAL3,Tceal3,
9160,KAT8,KAT8,Kat8,
9161,PAX6,PAX6,Pax6,
9162,SPRED1,SPRED1,Spred1,
9163,CDCA3,CDCA3,Cdca3,
9164,GSTO2,GSTO2,Gsto2,
9165,KMT5A,KMT5A,Kmt5a,
9166,CGGBP1,CGGBP1,Cggbp1,
9167,LDHB,LDHB,Ldhb,
9168,LPAR1,LPAR1,Lpar1,
9169,FLRT2,FLRT2,Flrt2,
9170,CORO1C,CORO1C,Coro1c,
9171,KY,KY,Ky,
9172,WDFY4,WDFY4,Wdfy4,
9173,BIRC6,BIRC6,Birc6,
9174,RPRD1B,RPRD1B,Rprd1b,
9175,LOC105866963,COX7A2L,Cox7a2l,
9176,GIMAP8,GIMAP8,Gimap8,
9177,SMARCC2,SMARCC2,Smarcc2,
9178,ZNF512,ZNF512,Zfp512,
9179,BDNF,BDNF,Bdnf,
9180,TFAP4,TFAP4,Tfap4,
9181,ARHGAP36,ARHGAP36,Arhgap36,
9182,KLHL8,KLHL8,Klhl8,
9183,FBXL20,FBXL20,Fbxl20,
9184,MRPL39,MRPL39,Mrpl39,
9185,FGD2,FGD2,Fgd2,
9186,TGM7,TGM7,Tgm7,
9187,SLIRP,SLIRP,Slirp,
9188,ARL15,ARL15,Arl15,
9189,TNFRSF11B,TNFRSF11B,Tnfrsf11b,
9190,LOC105874563,MMP3,Mmp3,
9191,GTPBP3,GTPBP3,Gtpbp3,
9192,PLA2G1B,PLA2G1B,Pla2g1b,
9193,RGS1,RGS1,Rgs1,
9194,STING1,STING1,Sting1,
9195,GALNT6,GALNT6,Galnt6,
9196,GRPEL2,GRPEL2,Grpel2,
9197,MSS51,MSS51,Mss51,
9198,PRPS2,PRPS2,Prps2,
9199,ISG20L2,ISG20L2,Isg20l2,
9200,PRADC1,PRADC1,Pradc1,
9201,WDR59,WDR59,Wdr59,
9202,DDIAS,DDIAS,Ddias,
9203,CETN1,CETN1,Cetn1,
9204,TMEFF1,TMEFF1,Tmeff1,
9205,ANGPTL1,ANGPTL1,Angptl1,
9206,MARVELD2,MARVELD2,Marveld2,
9207,ACAD11,ACAD11,Acad11,
9208,SIDT1,SIDT1,Sidt1,
9209,CCDC149,CCDC149,Ccdc149,
9210,LOC105863814,H3-3A,H3f3a,
9211,TTC36,TTC36,Ttc36,
9212,DDX5,DDX5,Ddx5,
9213,TMBIM1,TMBIM1,Tmbim1,
9214,EHBP1L1,EHBP1L1,Ehbp1l1,
9215,CDCP2,CDCP2,Cdcp2,
9216,NECTIN2,NECTIN2,Nectin2,
9217,SYT9,SYT9,Syt9,
9218,PINLYP,PINLYP,Pinlyp,
9219,ACBD3,ACBD3,Acbd3,
9220,RAB25,RAB25,Rab25,
9221,ADAM7,ADAM7,Adam7,
9222,PRKCB,PRKCB,Prkcb,
9223,DMRTB1,DMRTB1,Dmrtb1,
9224,ABL1,ABL1,Abl1,
9225,TRIM41,TRIM41,Trim41,
9226,DBN1,DBN1,Dbn1,
9227,MGRN1,MGRN1,Mgrn1,
9228,TMEM91,TMEM91,Tmem91,
9229,NDRG3,NDRG3,Ndrg3,
9230,CLDN16,CLDN16,Cldn16,
9231,NVL,NVL,Nvl,
9232,NRSN1,NRSN1,Nrsn1,
9233,KLRG1,KLRG1,Klrg1,
9234,PABPC4,PABPC4,Pabpc4,
9235,ARX,ARX,Arx,
9236,TMED1,TMED1,Tmed1,
9237,SUMO3,SUMO3,Sumo3,
9238,CLCC1,CLCC1,Clcc1,
9239,TEDC2,TEDC2,Tedc2,
9240,TFEB,TFEB,Tfeb,
9241,ERO1B,ERO1B,Ero1lb,
9242,CLPX,CLPX,Clpx,
9243,CTNS,CTNS,Ctns,
9244,HAUS1,HAUS1,Haus1,
9245,TRHDE,TRHDE,Trhde,
9246,MMP19,MMP19,Mmp19,
9247,ANK3,ANK3,Ank3,
9248,MED11,MED11,Med11,
9249,NPHS1,NPHS1,Nphs1,
9250,FBXO21,FBXO21,Fbxo21,
9251,CCDC50,CCDC50,Ccdc50,
9252,MCU,MCU,Mcu,
9253,HOXB9,HOXB9,Hoxb9,
9254,GPR82,GPR82,Gpr82,
9255,INO80E,INO80E,Ino80e,
9256,TMEM151A,TMEM151A,Tmem151a,
9257,RPL31,RPL31,Rpl31,
9258,IGFBP6,IGFBP6,Igfbp6,
9259,NEDD1,NEDD1,Nedd1,
9260,LRRC17,LRRC17,Lrrc17,
9261,TEFM,TEFM,Tefm,
9262,LOC105864772,OR5AU1,Olfr221,
9263,RPAP2,RPAP2,Rpap2,
9264,TMUB2,TMUB2,Tmub2,
9265,ARMH1,ARMH1,Armh1,
9266,CLDN20,CLDN20,Cldn20,
9267,MYCN,MYCN,Mycn,
9268,VTN,VTN,Vtn,
9269,CCT4,CCT4,Cct4,
9270,YTHDF2,YTHDF2,Ythdf2,
9271,NXNL2,NXNL2,Nxnl2,
9272,SUV39H2,SUV39H2,Suv39h2,
9273,FAM91A1,FAM91A1,Fam91a1,
9274,PDAP1,PDAP1,Pdap1,
9275,TMEM260,TMEM260,Tmem260,
9276,SATB2,SATB2,Satb2,
9277,CSMD1,CSMD1,Csmd1,
9278,LOC105864672,OR10G3,Olfr1512,
9279,RAB40C,RAB40C,Rab40c,
9280,SMAP2,SMAP2,Smap2,
9281,ARHGAP15,ARHGAP15,Arhgap15,
9282,DLC1,DLC1,Dlc1,
9283,TRIO,TRIO,Trio,
9284,ITGB5,ITGB5,Itgb5,
9285,PAQR9,PAQR9,Paqr9,
9286,TSPO,TSPO,Tspo,
9287,ELMOD3,ELMOD3,Elmod3,
9288,MRPS14,MRPS14,Mrps14,
9289,ROBO1,ROBO1,Robo1,
9290,HR,HR,Hr,
9291,ACACA,ACACA,Acaca,
9292,MLH1,MLH1,Mlh1,
9293,MAL,MAL,Mal,
9294,ATG2B,ATG2B,Atg2b,
9295,CHST14,CHST14,Chst14,
9296,TSR2,TSR2,Tsr2,
9297,TAPT1,TAPT1,Tapt1,
9298,OPALIN,OPALIN,Opalin,
9299,FN3KRP,FN3KRP,Fn3krp,
9300,FGFR1,FGFR1,Fgfr1,
9301,CRYBA2,CRYBA2,Cryba2,
9302,ZDHHC22,ZDHHC22,Zdhhc22,
9303,ABTB2,ABTB2,Abtb2,
9304,NYAP2,NYAP2,Nyap2,
9305,KITLG,KITLG,Kitl,
9306,LARP6,LARP6,Larp6,
9307,PLCL1,PLCL1,Plcl1,
9308,HCRTR1,HCRTR1,Hcrtr1,
9309,SLC10A1,SLC10A1,Slc10a1,
9310,ANKRD60,ANKRD60,Ankrd60,
9311,GLRA1,GLRA1,Glra1,
9312,HTATSF1,HTATSF1,Htatsf1,
9313,L3MBTL4,L3MBTL4,L3mbtl4,
9314,IL18RAP,IL18RAP,Il18rap,
9315,LOC105868206,PLOD3,Plod3,
9316,UFSP1,UFSP1,Ufsp1,
9317,MTRF1,MTRF1,Mtrf1,
9318,PTK2,PTK2,Ptk2,
9319,PWWP3A,PWWP3A,Pwwp3a,
9320,GSTCD,GSTCD,Gstcd,
9321,TOM1,TOM1,Tom1,
9322,MRPL51,MRPL51,Mrpl51,
9323,CCNE1,CCNE1,Ccne1,
9324,C3H14orf132,C14orf132,D430019H16Rik,
9325,CNFN,CNFN,Cnfn,
9326,LOC105858336,H2AC1,H2ac1,
9327,HSPH1,HSPH1,Hsph1,
9328,TAF4,TAF4,Taf4,
9329,ENHO,ENHO,Enho,
9330,ACSF3,ACSF3,Acsf3,
9331,ADIPOR1,ADIPOR1,Adipor1,
9332,TRMT44,TRMT44,Trmt44,
9333,MPZL2,MPZL2,Mpzl2,
9334,POLA1,POLA1,Pola1,
9335,FBXO30,FBXO30,Fbxo30,
9336,ZBTB2,ZBTB2,Zbtb2,
9337,ARPC1A,ARPC1A,Arpc1a,
9338,RPL22,RPL22,Rpl22,
9339,CDK5R2,CDK5R2,Cdk5r2,
9340,C14H4orf47,C4orf47,1700029J07Rik,
9341,HES3,HES3,Hes3,
9342,WDR89,WDR89,Wdr89,
9343,ENOX2,ENOX2,Enox2,
9344,GTF2H5,GTF2H5,Gtf2h5,
9345,IQCA1,IQCA1,Iqca,
9346,ASB7,ASB7,Asb7,
9347,ZDHHC19,ZDHHC19,Zdhhc19,
9348,C2H1orf87,C1orf87,Gm12695,
9349,SATL1,SATL1,Satl1,
9350,PCCA,PCCA,Pcca,
9351,B3GNT8,B3GNT8,B3gnt8,
9352,ST13,ST13,St13,
9353,PKNOX1,PKNOX1,Pknox1,
9354,GIN1,GIN1,Gin1,
9355,SLC17A4,SLC17A4,Slc17a4,
9356,GXYLT1,GXYLT1,Gxylt1,
9357,LOC105860128,ALOX5,Alox5,
9358,PRRT2,PRRT2,Prrt2,
9359,AREG,AREG,Areg,
9360,EPAS1,EPAS1,Epas1,
9361,PALLD,PALLD,Palld,
9362,IL17RC,IL17RC,Il17rc,
9363,MAP9,MAP9,Map9,
9364,SH3GL1,SH3GL1,Sh3gl1,
9365,PSMB8,PSMB8,Psmb8,
9366,PAPSS2,PAPSS2,Papss2,
9367,NKX2-3,NKX2-3,Nkx2-3,
9368,HMGN2,HMGN2,Hmgn2,
9369,ADAMTS4,ADAMTS4,Adamts4,
9370,C19H5orf46,C5orf46,Gm94,
9371,MS4A1,MS4A1,Ms4a1,
9372,IQCK,IQCK,Iqck,
9373,MAMDC2,MAMDC2,Mamdc2,
9374,SERPINB10,SERPINB10,Serpinb10,
9375,SRP68,SRP68,Srp68,
9376,TADA2B,TADA2B,Tada2b,
9377,PPARA,PPARA,Ppara,
9378,LOC105857695,BCS1L,Bcs1l,
9379,TSHR,TSHR,Tshr,
9380,RPUSD4,RPUSD4,Rpusd4,
9381,GCM1,GCM1,Gcm1,
9382,STPG3,STPG3,Stpg3,
9383,CYSLTR2,CYSLTR2,Cysltr2,
9384,ASH1L,ASH1L,Ash1l,
9385,SLC7A10,SLC7A10,Slc7a10,
9386,FLOT1,FLOT1,Flot1,
9387,NINJ1,NINJ1,Ninj1,
9388,TMEM203,TMEM203,Tmem203,
9389,GFRAL,GFRAL,Gfral,
9390,LOC105861182,SLC7A1,Slc7a1,
9391,ACAP3,ACAP3,Acap3,
9392,ANGPTL5,ANGPTL5,Gm19324,
9393,VWF,VWF,Vwf,
9394,OPN3,OPN3,Opn3,
9395,C24H19orf71,C19orf71,4930404N11Rik,
9396,CPT2,CPT2,Cpt2,
9397,MDM1,MDM1,Mdm1,
9398,GNL3,GNL3,Gnl3,
9399,STAG1,STAG1,Stag1,
9400,SSTR4,SSTR4,Sstr4,
9401,NSMAF,NSMAF,Nsmaf,
9402,SLN,SLN,Sln,
9403,MEIG1,MEIG1,Meig1,
9404,SRM,SRM,Srm,
9405,SAMM50,SAMM50,Samm50,
9406,TMEM165,TMEM165,Tmem165,
9407,KANSL3,KANSL3,Kansl3,
9408,SRD5A2,SRD5A2,Srd5a2,
9409,TFAP2D,TFAP2D,Tfap2d,
9410,DNAJC8,DNAJC8,Dnajc8,
9411,FLACC1,FLACC1,Flacc1,
9412,EEA1,EEA1,Eea1,
9413,FAHD1,FAHD1,Fahd1,
9414,TMEM8B,TMEM8B,Tmem8b,
9415,TEKT2,TEKT2,Tekt2,
9416,DEDD2,DEDD2,Dedd2,
9417,EIF2B1,EIF2B1,Eif2b1,
9418,VWA3A,VWA3A,Vwa3a,
9419,MGST3,MGST3,Mgst3,
9420,PPY,PPY,Ppy,
9421,SULF1,SULF1,Sulf1,
9422,FBXW11,FBXW11,Fbxw11,
9423,SLC16A13,SLC16A13,Slc16a13,
9424,CLCN3,CLCN3,Clcn3,
9425,CASP8AP2,CASP8AP2,Casp8ap2,
9426,ZNF48,ZNF48,Zfp553,
